regulator	target	beta.sign.sum	prior
IRF1	CCDC109B	15	1
IRF2	INSR	-15	0
JUN	STAT5A	15	0
ESR1	BRCA2	-15	0
THAP1	SOCS1	15	1
REL	NFKBIZ	15	1
FOXO3	NR4A1	15	1
ELF1	ISG15	-15	0
JUND	CPT1A	-15	1
CEBPE	DPYD	15	0
MSC	SLC16A1	15	0
YBX1	JMJD3	15	1
TEF	NUAK2	15	1
RELA	JMJD3	15	1
HSF2	MICB	-15	0
RFX3	NR2C1	15	0
RFX2	SKP2	15	1
RELB	ATF3	15	0
MAFG	PTAFR	15	0
NFKB1	IL1A	15	1
STAT2	TNFSF15	15	0
GATA1	RNF19B	-15	1
TP73	PUS1	15	1
GLI2	BMI1	-15	1
NR1I3	LY6E	15	1
ZNF148	IL12A	15	1
TFAP4	PDE7A	-15	1
ALX4	MAFF	-15	0
CEBPA	IL1B	15	1
HIC2	MAFF	15	1
CTCFL	GEM	15	1
TFAP4	EGR1	15	1
TEAD1	BDKRB1	15	1
ZIC5	LTA	15	1
TFAP4	HMOX1	15	1
ARNTL2	HMOX1	15	1
KLF5	STARD5	15	1
JUNB	IFI16	15	1
EGR1	HMGCR	-15	1
YBX1	ADFP	-15	1
MAX	LINCR	15	1
NFIX	NR1D2	-15	1
ZNF263	BDNF	14	1
PLAGL1	LXRB	14	1
YY2	NPY1R	-14	0
SP4	MAB21L2	14	0
ZNF263	ESRRG	14	1
YY2	NR2F1	-14	0
STAT2	IFI44L	14	0
NR4A2	REL	14	0
NFKB1	SDC4	14	0
IRF7	PSMB9	14	1
STAT2	KIAA0082	14	1
STAT2	CD48	14	0
KLF13	SREBP1	14	1
IRF7	MASTL	14	1
NFKB1	GADD45B	14	1
TP73	ETV6	-14	1
CTCF	C5orf27	14	1
IRF7	NMI	14	1
ARID3B	AHNAK2	14	0
CLOCK	PSME1	-14	0
GATA6	CCR7	14	0
ESR1	SAT1	-14	0
STAT2	ANKRD22	14	0
POU5F1	SIRPA	-14	1
NFE2L2	SLC3A2	14	1
EBF1	PMM2	-14	0
ETS1	PTX3	14	1
PAX6	MAFB	-14	0
ARID3B	SPP1	14	0
INSM1	SENP2	-14	1
TFAP4	SAMD4A	14	1
RXRA	PUS1	14	1
NKX6-1	DMP1	-14	0
PLAGL1	G6PD	14	1
NR1I3	IFI27	14	1
ETV4	BCL2L1	14	1
STAT2	IFITM2	14	1
STAT2	BST2	14	1
STAT2	PLA2G4C	14	1
ZNF148	IL12B	14	1
STAT2	PRKCE	14	1
HIC2	SREBP2	14	1
STAT2	IL23A	14	1
ELK4	EPO	-14	1
MYC	BLR1	14	1
ZSCAN16	HSD11B2	14	0
ESRRG	NCF1	-14	0
TFAP4	P2RY6	14	1
STAT2	XAF1	14	1
ELF1	RORB	-14	1
FEZF2	WNT10B	-14	0
NR2C2	AQP9	14	1
EGR1	INSIG1	-14	1
E2F6	ZNF313	14	1
GLI1	NKAP	14	1
ZNF148	ABCB1	-14	1
TCF12	VPS53	14	1
ZNF148	CSF2	14	1
NFKB1	CSF2	14	1
INSM1	PAX8	14	1
DMBX1	S100A8	14	1
ZBTB33	CREBB	-14	1
RREB1	PTPN13	14	1
ZNF263	Osterix	13	1
CTCF	AGT	13	0
DMRT2	THBS1	13	1
STAT2	CASP7	13	1
STAT2	PARP12	13	1
NFKB1	RIPK2	13	0
STAT2	MYD88	13	0
PLAGL1	NR3C2	-13	0
MSC	PSMB9	-13	0
MAFG	IRF4	-13	0
EBF1	SCAP	13	1
GATA6	TNFRSF9	13	0
NR4A2	PRKACA	-13	1
STAT2	IRF9	13	1
GATA6	CCL19	13	0
MAFG	CCL18aa	13	0
IRF1	GBP5	13	0
ZNF589	FCER2	13	0
STAT2	CXCL10	13	0
GABPA	THBS1	13	1
PBX3	THOC4	13	1
IRF7	STAT2	13	0
