regulator	target	beta.sign.sum	prior
IRF7	PPM1K	8	0
STAT2	GBP1	8	0
PLAGL1	OGFR	8	1
NFYB	NAPA	-8	1
STAT2	APOL1	8	1
RXRA	LSS	8	0
EBF1	SLC15A3	8	1
IRF7	RTP4	8	0
PLAGL1	NR2F6	8	1
ZNF263	FGF8	8	1
FOXO1	UNC93B1	-8	0
IRF7	PARP12	8	1
ZNF263	CLDN2	8	0
MYC	ABTB2	8	1
THRB	OGFR	8	1
RXRA	RELA	8	1
STAT2	TRAFD1	8	0
MGA	NR6A1	8	0
PROP1	CASP7	-8	0
ZNF263	ENPP1	8	1
YY2	SELP	-8	0
THAP1	TAP1	8	1
THAP1	KIAA0082	8	1
TFAP2D	ALOX12	-8	1
HIC2	LSS	8	1
HOMEZ	MTHFD2L	8	0
SCRT2	LIPA	8	0
HOMEZ	NUP50	8	0
FOXO3	ST6GAL1	-8	0
RELB	CD83	8	1
ZNF35	G6PD	-8	0
STAT2	IFI30	8	0
GATA6	BCL2L14	8	0
ASCL2	PLCG1	8	1
THAP1	NFKB2	8	0
PLAGL1	SREBP2	8	1
STAT2	IRF7	8	1
ATF5	ABLIM3	8	0
NFKB1	CD54	8	1
GATA6	MIR155	8	0
THRB	IKBKG	8	1
PROP1	ADAM19	-8	0
FOXO1	FBXO6	-8	1
PLAGL1	NFKBIB	8	1
ELF1	ETV7	-8	0
STAT5A	CD69	8	0
NR1D1	IL12B	8	0
RELB	PMAIP1	8	0
HSF2	APOL1	-8	1
ARNTL2	CD54	-8	0
KLF16	REL	8	1
ATF6	ABCC6	-8	1
MGA	GPX2	8	0
MIXL1	ENG	8	0
NFIB	SOD1	-8	1
FOXO1	PRIC285	-8	1
ZNF589	ESR1	8	1
GLI3	NUAK2	-8	0
ZNF589	FCGRT	8	0
TEF	NR6A1	8	0
IRF2	RIPK2	8	1
SP4	AKR1C1	8	1
TCF3	GJA4	8	1
ZIC3	STAT5B	-8	1
HOXB3	STAT5A	-8	0
PPARG	CD86	-8	1
T	CTSB	8	0
YY1	DEFB1	-8	0
YBX1	ZNF366	8	0
STAT5A	CASP4	8	0
PPARD	SAMD4A	8	1
MLXIPL	IFI44	-8	0
ZIC1	C10orf10	8	1
ARID3B	LXRA	8	0
ARID3C	SAMHD1	-8	0
REL	GCH1	8	1
ETV4	ATP10D	-8	0
NFKB1	CD274	8	1
STAT2	NR3C1	8	1
RELB	GBP2	8	0
TGIF1	SAMD4A	8	1
YY2	SELE	-8	0
FOXO1	TYMP	-8	0
MAFG	FKBP5	-8	0
RXRA	RNF24	-8	0
FOXO3	EBI3	8	0
STAT2	PSMB8	8	1
SIX1	CD7	8	0
IRF1	CXCL9	8	0
NR1I3	IFITM3	8	0
ARNTL2	UPP1	-8	0
NKX6-3	NR0B2	8	0
THRA	GMPR	-8	1
IRF5	BLVRA	8	1
E2F6	RARRES3	8	1
PROP1	SOCS2	-8	0
JUN	IL9	-8	0
ESRRG	AQP9	-8	1
IRF8	TRIM14	8	1
SIX1	HEG1	8	0
BATF	NDC80	-8	0
MSC	CD38	-8	1
TCFL5	RORB	-8	1
SMAD2	GAD1	8	1
JUNB	IFI6	8	1
SCRT2	CD9	8	0
REL	TNF	8	0
E2F4	GCA	8	1
HIC2	CCDC92	8	1
RFX6	SKP2	-8	0
ELF1	PRKCE	-8	1
HSF2	BCL3	-8	0
TP73	THBS2	8	1
FOXO1	BST2	-8	1
LHX8	ZNF366	-8	0
HNF4A	CCL22	8	0
ESRRG	P2RX7	-8	1
REL	BACE1	-8	0
BCL11A	TWIST1	-8	1
MEF2A	SLC16A1	8	0
HNF4A	C1S	8	1
PROX1	PTMA	-8	1
ATF3	PDK1	8	1
ESR1	FAS	-8	0
SOX14	HMOX1	-8	0
PAX9	HGF	-8	0
ZBTB4	MBP	8	1
TERF2	TNFSF15	-8	0
MAZ	MT3	8	1
TFAP4	ARNTL	-8	0
TFAP4	LGMN	8	1
PROP1	PCTK2	-8	0
PAX5	CRY1	8	1
TBX2	HAMP	-8	1
ESRRB	PADI2	8	1
NR2F6	CCL4	-8	1
KLF3	VIM	-8	1
AHR	PSMB8	8	1
TCF7L2	NR5A1	8	0
PPARD	TREX1	8	0
FOSL1	ARHGEF3	-8	1
TCF7L2	CYP19A1	8	0
FOXB2	PLA2G4C	-8	0
CREB3L1	FNDC4	8	0
REL	CCL4	8	1
PLAG1	IL17B	8	1
YBX1	VIM	8	1
ESR1	NDC80	-8	0
RORC	S100A4	8	1
TP73	PLCD1	8	1
SOX14	TLR2	-8	1
NFE2	NLRP2	8	1
ZSCAN10	FAS	-8	0
ZBTB7B	PIGF	8	1
STAT3	PLA2	8	1
ZNF219	CRY1	-8	1
ELF1	CREBB	-8	1
ARID2	MT1M	-8	0
ZBTB42	AGER	-8	1
ZNF740	IL12A	8	1
FOS	NR1D1	8	1
TBP	CXCL6	8	1
NFKB1	CXCL1	8	1
TCFL5	THRB	-8	0
E2F3	MKX	-8	1
NHLH2	Rdh1	8	1
ARNT	HSP90AA1	8	1
ARID3B	THRA	8	0
TCF23	INHBA	8	0
KDM2B	CXCL2	8	1
HMBOX1	TRIM34	8	1
SOX2	EDN1	8	1
ZNF263	SELE	7	0
CTCF	ABCG8	7	1
ZNF263	PGR	7	1
IRF7	PML	7	1
IRF9	ISG15	7	1
POU5F1	SREBP2	-7	0
YY2	ABLIM3	-7	0
MAFG	ST6GAL1	7	0
NFYB	PRIC285	-7	0
PLAGL1	RXRA	7	1
IRF2	CFLAR	7	1
YY2	IL11	-7	1
KLF13	LXRB	7	1
IRF9	STAT2	7	1
ZNF263	CYP2A6	7	1
ZNF263	LCN2	7	0
SMARCC2	NR2F6	7	1
PROP1	PIK3CA	-7	0
PROP1	LAMP3	-7	0
THAP1	TICAM1	7	0
TEF	LIPA	-7	0
STAT2	PCTK2	7	0
TWIST2	TMEM49	-7	0
NFKB1	ABTB2	7	1
HINFP	RORC	-7	1
ZNF589	RXRA	7	1
TLX1	MTHFR	7	0
REL	CD40	7	1
ZNF263	KRT3	7	1
HEY1	SPI1	-7	0
IRF7	SLFN5	7	0
POU5F1	LSS	-7	0
IRF7	APOL2	7	1
STAT2	SP110	7	1
EBF1	BAX	7	1
ETV5	NR3C2	7	1
NFYB	XIAP	-7	0
IRF7	GCH1	7	0
IRF7	Slfn2	7	0
KLF13	SOD1	-7	1
PPARD	C22orf28	7	0
HOXB3	STAT3	-7	0
PROP1	HLA-F	-7	0
THAP1	PML	7	1
STAT5A	BTK	7	0
FOXO1	KIAA0082	-7	1
IRF9	MYLK	-7	0
ZSCAN10	HLA-F	-7	0
RELB	PCTK2	7	1
NR4A2	CD274	7	0
NFYB	PRKD2	-7	1
STAT2	DNAPTP6	7	0
PLAGL1	STAT6	7	1
RFX6	UNC84B	7	1
PLAGL1	TNFRSF1B	7	1
NFE2	BST2	-7	0
ESRRG	TMEM140	-7	0
JUN	HLA-E	7	0
STAT2	FAS	7	0
FOXO3	BCL2	7	1
NFYB	RARB	7	0
MYPOP	IL6ST	-7	0
YY2	KRT3	-7	0
NFYA	CD86	-7	1
IRF2	CD83	7	0
NFYB	C22orf28	-7	0
GLIS2	RXRA	7	1
TLX1	ENG	7	1
STAT5A	IFI16	7	0
ZNF35	GALNT2	-7	0
KLF16	SAT1	7	0
SP4	MT1X	7	1
ZSCAN10	NK4	-7	0
YY2	FASLG	-7	0
EBF1	GSTP1	7	0
TCF12	CD209	7	1
PROP1	IL2RA	-7	0
NFKB1	EBI3	7	1
NFKB1	REL	7	1
THRB	MVK	7	1
PROP1	GADD45B	-7	0
NR1I3	OAS1	7	0
FOXO3	CYP27B1	7	0
POU2F1	CYP2A6	7	1
LHX8	UGCGL1	-7	0
GATA6	MIR146A	-7	0
MAFB	ZNF366	7	0
EGR1	CD54	-7	1
STAT2	MT1M	7	0
HOXC13	ASPH	-7	0
YY2	CALCB	-7	0
RELB	KIAA0040	7	0
PROP1	NK4	-7	0
ESRRG	PIK3AP1	-7	1
THAP1	TNFRSF4	7	1
MYC	STAT5B	7	1
SCRT2	CHI3L1	7	0
FOS	ICOS	7	0
FOXO4	RARA	-7	1
HINFP	PGLYRP1	-7	1
IRF7	CXCL10	7	0
NFKB1	FAM134B	7	0
NFYB	FAM125B	-7	0
PROP1	BCL2L1	-7	0
PROX1	TNFRSF1B	7	0
HOXC13	ATP10D	-7	0
BATF	G6PC	-7	0
YY2	FABP6	-7	0
IRF8	TRIM25	7	1
RELB	B4GALT5	7	1
FOXA1	TNFRSF4	-7	1
OLIG3	INSR	7	0
ZSCAN16	MAX	7	0
LHX2	TNFRSF1B	-7	0
ZSCAN10	CCL17	-7	0
RFX6	ERLIN1	-7	0
REL	NAMPT	7	1
RELB	OPTN	7	1
AHR	RSAD2	7	0
MAFG	ALOX5	7	0
AR	MT1F	7	1
ZNF589	DPYD	7	0
MLXIPL	CCL4	-7	0
NR3C1	ADORA1	7	1
TWIST1	TAGAP	7	0
ATOH8	ADORA2A	-7	0
RFX3	PDE7A	7	0
IRF1	GBP2	7	1
SCRT2	PABPC4	7	0
RFX6	SOCS1	7	1
PAX6	CCL18	-7	0
STAT5A	ESR1	7	1
OTX1	LGALS3	7	0
NFKB1	PNRC1	7	0
ZNF524	SELS	7	0
HEY1	HMGN1	7	1
STAT2	TRIM34	7	1
ELF2	PYCARD	7	1
ZIC1	PTAFR	-7	0
HOXC13	TNFRSF4	7	0
CDX2	TAGAP	7	1
KLF5	NR4A2	7	1
MAFG	TFPI2	-7	0
PPARD	TRIM25	7	0
CTCFL	ST8SIA1	7	1
IRF8	ARHGEF3	7	1
IRF5	PPP5C	-7	1
NHLH2	CCL18	7	1
RELB	GBP5	7	0
NFATC4	PTX3	-7	0
OLIG3	RARRES3	-7	0
TP73	FKBP5	-7	1
TFAP4	MSR1	7	0
ESRRG	IL1RN	-7	0
RXRA	IER2	7	1
ATF5	IRF6	7	0
DPRX	CXCL11	-7	0
POU2F2	RORB	-7	0
SP2	ESR2	-7	1
SNAI1	PLA2	7	1
KLF15	PPARA	7	1
ZNF589	AKT3	-7	1
EGR3	SH3BGRL	7	1
T	TMEM51	7	0
NFATC1	DDX3X	7	1
ETV5	C2orf31	-7	1
EGR3	BCL2L11	-7	1
NFATC3	ICOS	-7	0
IRF5	ABCB9	-7	1
PROP1	CLEC2B	7	0
ZNF76	GK	-7	0
NR1I3	MDK	7	0
ELF1	APOBEC3B	-7	1
HNF4A	TGM2	7	1
FOXO3	MAP4K1	-7	1
ESRRG	SERPINA1	-7	0
MYC	NK4	7	1
ELF1	STAP1	-7	0
ATOH8	AKT3	-7	1
IRF7	MT1M	7	0
THRB	IGHG1	7	1
TCFL5	PYCARD	-7	1
FEV	HSD11B2	7	1
PPARG	NFIL3	-7	0
SOX14	CAV1	7	0
VDR	TRIM38	-7	1
OVOL1	CCL20	7	0
IRF2	SLC6A6	7	1
KLF8	REV3L	-7	1
HES1	IL8RA	7	0
NFYB	TMEM51	-7	1
SOX4	MYOZ1	7	0
IRF1	PADI2	-7	1
IRF1	TRIM14	7	1
ARID3C	PGK1	-7	0
ELF2	NFIL3	-7	1
KLF5	RARG	-7	1
FEZF2	FAM134B	-7	0
TFAP4	CTSL1	7	1
ZNF740	IL23A	7	1
NR3C2	BACE1	7	1
RFX1	LGMN	-7	0
MYC	ACACA	-7	1
GLIS3	VIM	-7	1
E2F5	ALOX5	-7	1
JUN	CFB	7	1
REL	CREB3	7	0
PPARG	CD74	7	1
NR2F6	PAFAH2	7	1
USF2	TRIM38	7	1
CTCFL	NR1D2	7	1
E2F2	ASS1	7	1
ETV7	LGMN	7	0
ZNF524	ULK4	-7	1
HES4	IFNB1	-7	0
HNF4A	PTEN	-7	1
NAIF1	IER3	7	1
ENO1	BCL2L11	-7	1
RUNX2	FASLG	-7	1
TCF3	PLAU	-7	1
RARG	IL10	-7	1
ZNF148	ENO2	-7	1
RREB1	VCAM1	7	0
ZBTB49	IGHE	7	1
FOXA1	PFKFB3	-7	1
ZBTB1	CD9	7	1
ESRRA	CHI3L1	7	1
RBPJ	CXCL5	7	0
NFIB	SCD2	7	1
GLI3	S100A4	7	1
ZNF740	GATA3	7	1
ETS1	IL28RA	-7	1
ZNF143	ENO2	7	1
SP2	CCL28	-7	1
DBP	EP300	-7	1
ELK3	CHUK	7	1
ZBTB7A	BMP2	7	1
ZBTB3	CXCL2	-7	0
KLF5	GK	7	1
CTCF	BDNF	6	1
CTCF	GRM2	6	1
SP5	NR2E1	-6	1
SP5	OPRM1	-6	0
IRF9	GBP1	6	0
IRF7	PSME2	6	1
CTCF	CALCB	6	1
CTCF	PENK	6	1
ZNF263	FABP6	6	1
ZNF263	PRL	6	0
SP1	ESR2	6	1
NFKB1	TNIP1	6	1
SP4	UPK1B	6	0
NR1I2	NRG1	-6	0
STAT2	RELA	6	0
IRF2	CD80	6	0
EBF1	NR2F6	6	1
VSX1	CD163	-6	0
CTCF	ELF3	6	1
FOXP2	NR2C2	6	0
STAT2	CD80	6	0
ARNTL2	CD80	-6	0
HOXA3	RXRA	6	0
SPI1	IL10	6	1
NRF1	COL1A2	-6	0
HOXB1	G6PC	6	0
DNMT1	PYCARD	-6	1
IRF9	SPSB1	6	1
ZNF263	LBP	6	1
T	C22orf28	6	0
ZNF263	CYP2C19	6	0
YY1	SAMD4A	-6	0
STAT2	FAM46A	6	0
IRF7	TRIM25	6	0
PLAGL1	SLC15A3	6	1
SMARCC2	PTS	-6	1
SOX11	LXRB	-6	0
EBF1	IRF5	6	1
ARID3B	LAMB2	6	0
IRF2	CASP7	6	1
TEF	TAGAP	-6	0
JUN	TAP1	6	0
FOXO4	CCND3	-6	1
ELF2	CCL19	-6	0
HOXB3	PSCD1	-6	0
TEF	ST8SIA1	6	0
ZIC4	IKBKG	6	1
IRF9	SLFN5	6	1
IRF8	CCND3	6	1
STAT2	SLFN5	6	1
MAFG	MS4A4A	6	0
EBF1	ENG	6	1
ETV7	ALDH1A1	6	0
LHX2	BAX	-6	0
MXI1	IL23A	-6	0
TERF2	PIK3AP1	-6	0
ARID3C	FCER2	-6	0
FOXF1	GJA4	-6	0
RELB	SOD2	6	0
ETV4	TFF3	-6	0
MGA	COX7A2P1	6	0
HOXC13	PTPN1	6	0
GLI3	STAT5A	-6	0
KLF7	FSTL3	6	1
CREB3	THBS2	-6	0
THRB	UNC93B1	6	1
ZNF589	CCND3	6	0
TFAP2B	GPX2	-6	0
STAT2	PHF11	6	1
JUN	RELB	6	1
ZBTB4	FCER2	6	1
NFKB1	CD80	6	0
MLXIPL	RTP4	-6	0
IRF6	YY1	6	0
T	MMP9	6	0
YY2	CREB3L3	-6	0
SMARCC1	TAGAP	6	1
TBX20	GNAI2	-6	1
PPARD	ANKFY1	6	0
IRF1	GBP1	6	0
TLX1	NR2F6	6	1
YBX1	PPARD	6	1
KLF13	IKBKB	6	1
MAFG	EPAS1	6	0
YY2	ANGPT1	-6	0
ZNF589	ST8SIA1	-6	0
NR4A1	PRKCD	6	1
FOXO3	MIR155	6	0
FOXA3	LAMP3	6	0
MSC	IFI44	-6	0
JUNB	HLA-G	6	0
IRF2	SP110	6	1
RELB	IFNB1	6	0
ZSCAN10	OAS1	-6	0
YY2	PGR	-6	0
HOXB3	RASSF4	-6	0
CREB1	MUC2	-6	1
IRF1	PRKCD	6	1
HAND2	CAV1	6	0
HOXA13	KRT5	6	0
ELF2	PRAME	-6	1
TLX1	MVK	6	1
ZNF524	IL28RA	6	1
THAP1	UNC84B	6	1
ELF1	ADM	-6	1
PLAGL1	IL28RA	6	1
TERF2	BAG1	-6	0
ZNF35	RARB	6	0
PROP1	LMO2	6	0
NRF1	LCN2	-6	0
HSF2	GTPBP2	-6	0
SOX8	HAMP	6	0
SOX15	BLNK	6	0
FEZF2	NR5A2	-6	0
STAT5A	ANKFY1	6	0
BHLHE22	DDX3X	6	0
ZIC4	TP53	-6	1
SPI1	TNC	6	1
KLF16	PSCD1	6	1
NR4A2	IL6ST	6	0
MYC	LMO2	-6	1
FOXH1	SERPINE2	6	0
IRF7	ATF3	6	0
IRF2	C9orf19	6	1
PRDM1	ADAMDEC1	6	1
STAT2	DTX3L	6	1
VSX1	PPARD	-6	0
FOXO1	NFKBIB	-6	1
TBX19	CTSL1	-6	0
E2F1	SLC25A30	-6	1
EBF1	IRF3	6	1
RELB	CASP7	6	0
ZBTB4	DPYD	6	1
HSF2	SUPV3L1	6	0
SREBF1	SAMD4A	-6	0
CTCF	AICDA	6	1
ZIC1	CCL19	6	0
EGR1	RNF19B	-6	1
ZKSCAN1	CYP2E1	6	0
STAT2	FUT4	6	0
ZFX	NR2C1	6	1
NFYB	GALNT2	-6	1
TBX20	PGK1	-6	0
OLIG3	MDK	-6	0
IRF9	IL6	6	0
NR2F1	SERPINE2	-6	0
PROP1	NFKB1	-6	0
ZNF274	RAB27A	6	1
KLF3	CD44	-6	1
TWIST1	MMP9	6	1
PAX6	PTAFR	-6	0
PPARD	PIK3AP1	6	1
ELF2	RARA	6	1
ETV7	ESR1	6	1
NEUROG2	PIM3	-6	0
DNMT1	BMI1	6	1
PPARD	NR2C1	-6	1
ARNTL2	KIAA0040	-6	0
NFKB1	KCNK5	6	1
IRF2	IFIT5	6	0
ARNT2	GNAI2	6	1
GLI3	MT1F	-6	1
ETV4	MAFF	6	0
IRF7	TBK1	6	0
STAT2	FAM70A	6	0
KLF16	AIM2	6	1
PAX6	THBD	-6	0
ZNF274	ARHGEF3	6	1
ZFX	IFNL1	-6	1
EOMES	CCL20	6	0
ZBTB1	GSTP1	-6	0
PROP1	RARRES3	-6	0
THRB	NFKBIB	6	1
IRF1	STAT2	6	0
FOXE1	JUNB	6	0
THRB	MMP9	6	1
FOXE1	SOCS1	6	0
TERF2	CCL1	-6	0
PKNOX2	Rdh7	6	0
PBX3	MVK	6	1
GLI3	TNFAIP2	-6	0
ZNF274	C4orf32	6	1
RREB1	THBD	-6	1
RELB	IRF9	6	0
GABPA	AMPH	-6	0
ELF5	ARHGEF3	6	1
TERF2	GBP5	-6	0
GLI3	CMAH	-6	0
PPARG	PRKACA	6	1
ELF2	SOCS2	-6	1
STAT5B	TNFRSF10A	-6	0
PROP1	BACE1	6	0
ZNF589	STAT4	-6	1
IRF9	ADAR	6	1
TERF2	CXCL10	-6	0
ZFHX3	AGER	6	0
AHR	IFIT5	6	1
MZF1	NFIL3	-6	1
THAP1	NCF1	6	1
T	CCR1	6	0
GMEB1	ADORA1	-6	0
ZSCAN10	BTN3A3	-6	0
THRB	CD3G	6	0
NR3C2	TAP2	-6	0
TFAP2B	TFPI2	-6	1
VDR	TIFA	-6	1
BRCA1	NRN1	-6	0
AR	MARCKS	6	0
ESRRG	IRF8	-6	0
HIVEP2	PLCD1	-6	1
TBX21	CCL20	6	0
TERF2	P2RX7	-6	0
HOXB1	LIPG	6	0
RELB	STAT4	6	1
EOMES	IL12B	6	0
EGR3	COMMD3	-6	1
ARNTL2	NR3C1	-6	0
CREB5	ZBP1	-6	0
MBD2	GNRH2	-6	1
KLF3	TWIST1	6	1
ENO1	SPP1	6	0
GATA6	BCL2L11	6	0
E2F4	UCP2	-6	1
ZNF263	CXCL5	6	1
IRF5	FAM134B	6	1
VDR	DNASE1L2	6	1
POU2F1	TRPC1	6	1
ARID3A	GJB1	-6	0
ZNF589	E2F3	6	1
PHOX2B	HSP90AA1	6	0
CREB5	TNFSF15	-6	0
STAT4	CYP1B1	-6	1
IRF8	PIK3AP1	6	1
KLF13	IL1A	-6	1
RELB	EXT1	6	1
IRF1	HEG1	6	1
TCF23	PIM1	6	0
RFX8	CD44	6	1
PAX6	HK2	-6	1
RFX2	RNASE4	6	0
MTF1	ALOX5	-6	1
FEZF2	MAP3K5	6	0
SMARCC1	UPP1	6	1
YY1	HPSE	-6	1
KLF5	FSTL3	-6	1
ZBTB7B	IFI30	-6	1
RFX4	LRG1	-6	1
TFAP4	ESR1	6	1
FOXA1	SIRPA	-6	0
IRF2	IL6	6	0
PPARG	DCTN4	-6	0
NR1D1	EDN1	6	0
GATA6	IL10	-6	0
ETV7	LXRA	6	0
PPARD	TRIM5	6	0
ETV1	DCTN4	-6	0
HOXA13	KRT3	6	0
VDR	FSTL3	6	1
RREB1	NR1D2	-6	1
HOXB3	HLA-C	-6	0
MBD2	FNDC4	-6	1
RREB1	LGMN	-6	1
JUNB	CSDA	-6	1
E2F4	HSP90AA1	6	1
PAX5	THBS2	6	1
ELF4	IFI16	-6	0
MEF2A	CREB3	-6	0
IRX5	TNF	-6	0
GLI3	SNN	-6	0
NR4A1	ERVWE1	-6	0
ZBTB7B	GNB2L1	-6	1
MEF2A	IFNGR1	6	0
IRF1	GBP3	6	0
HSF2	F11R	-6	0
HOXA5	CSF3	6	1
PROP1	AGPAT9	6	1
IRF8	CDK6	-6	1
TFAP4	TMEM51	6	1
ZBTB4	NFIL3	-6	1
RXRA	TGM2	6	1
TGIF2	MS4A4A	-6	0
KLF4	CXCL1	-6	1
CEBPB	FCGR1A	6	1
ZNF652	ADFP	6	0
ELF1	IL17RB	6	1
RXRA	PTMA	-6	1
ZNF524	BCL3	6	1
IRF8	A4	6	1
PPARA	HSD17B8	6	1
SOX4	PDE7A	6	1
HIVEP2	LXRA	-6	1
ZNF713	HIF1A	6	0
AHR	IFIT1	6	0
MZF1	TWIST1	6	1
SREBF1	ALDH1A1	-6	0
NFKB2	STAT4	6	1
KLF16	DUSP1	6	1
MYBL2	PTX3	-6	0
E2F4	TBK1	6	1
IRF1	SELS	6	1
RFX3	PPARA	6	1
ZBTB7A	IL28RA	6	1
PAX4	CHUK	-6	1
SMAD1	CSF3	6	1
TERF2	SMAD3	-6	0
ELF3	HOXA9	-6	1
ZNF143	ABCB4	6	1
PKNOX2	CCND1	-6	1
RFX2	NR1D1	6	1
IRF9	GAD1	-6	1
KLF16	TIFA	-6	1
ZBTB7A	NR1D2	6	1
SIX1	CD74	6	1
FOSL1	CD48	-6	0
FOXI1	UCP2	6	1
NHLH2	FSTL3	6	1
ZNF76	PLA2G4C	-6	1
ELK3	CMAH	-6	1
SOX18	LYZ	6	1
RXRB	PTGDS	-6	1
TCF3	MT1G	6	1
REL	MIR146A	6	1
TAL1	CSDA	-6	1
HEY2	AHCTF1	6	1
CTCFL	CX3CL1	6	1
NR6A1	TNFRSF10A	-6	1
ATF5	BGN	6	1
KLF5	F3	6	1
GLI1	VPS53	-6	1
ESRRG	GBP2	-6	0
YBX1	CMAH	-6	0
ARNT	C15orf48	6	1
TERF2	IL1RN	-6	0
CTCFL	NFIL3	6	1
NFKB2	DDIT4	6	1
CTCFL	BCL2L11	6	1
TOPORS	PTGES	6	1
NR2C1	CHUK	-6	0
ESRRA	GCLM	-6	1
KLF4	CXCL3	-6	1
TWIST1	IGHG2	6	1
EGR1	HIF1A	-6	1
ZFX	ADRA2B	-6	1
ZNF219	GCA	6	1
NR4A3	BNIP3	-6	1
GATA2	BCL2L11	-6	1
KLF4	LEPR	6	1
THRA	ESRRB	-6	1
EGR1	NKAPL	6	1
TEAD3	NLRP2	6	1
SPI1	MKX	6	1
EGR1	TNFRSF10A	-6	1
HNF4G	PTEN	-6	1
SREBF1	RBBP4	6	1
PAX4	TWIST1	6	1
GATA2	FOS	6	1
SMAD1	CCL15	6	1
ZNF263	NR2E1	5	1
KLF13	LSS	5	0
SP5	CYP2C9	-5	0
ZNF35	EHD4	-5	0
ZNF263	CYP2C9	5	0
CTCF	RAG2	5	0
SP1	OPRM1	5	1
SOX15	ABTB2	-5	0
SP4	Rdh7	5	0
STAT2	CCDC109B	5	1
ZNF589	PRKACA	5	0
IRF9	CD274	5	1
ETV5	SLC15A3	-5	0
STAT2	MASTL	5	0
IRF5	CCL5	5	1
ARID3A	ANGPT1	-5	0
ZNF263	ABCG5	5	0
TFAP2D	PRKCD	5	1
PROP1	PRAME	-5	0
IRF5	CD274	5	0
NFKB1	CD83	5	1
IRF7	GBP1	5	0
RELB	RIPK2	5	0
TFAP2D	MAB21L2	-5	0
RELB	SDC4	5	0
PLAGL1	IKBKG	5	1
IRF2	TRIM5	5	1
SP4	NR3C2	5	1
MSC	MASTL	-5	0
IRF9	HES4	5	0
PROP1	TNFRSF9	-5	0
HIF1A	SCAP	5	1
NFATC1	RXRB	-5	0
PROP1	INSR	5	0
HNF4A	TRAF2	5	1
YY2	UPP2	-5	0
ARID3B	TLR3	5	0
VSX1	CEBPD	-5	0
HIC2	FASN	5	1
ZNF263	CSF3	5	1
ZNF589	LIPA	5	0
MYC	EBI3	5	0
RXRA	TNFAIP2	5	1
E2F1	PYCARD	-5	1
NFATC3	RPL22	5	0
NR1I3	SERPING1	5	0
ZNF263	HNF4G	5	1
PROP1	TICAM1	-5	0
ESR1	RIPK2	-5	0
STAT2	BAG1	5	1
FOXA1	TICAM1	-5	0
CDX2	IL1R	-5	0
USF1	CD80	-5	1
RELA	IRF4	5	0
RELA	PNRC1	5	0
KLF13	BAX	5	0
YY2	IRF6	-5	0
SMARCC1	EXT1	5	1
ZIC4	SOD1	-5	0
NR1I3	LGALS9	5	0
IRF2	LAMP3	5	0
NFIL3	IKBKB	-5	0
GATA6	GJA4	5	0
SOX11	PRIC285	-5	0
THAP1	PRIC285	5	1
GATA1	CCND2	5	1
TERF2	TFEC	-5	0
SP4	MTHFD2L	5	1
PPARG	RARA	5	1
ETV4	NFKB2	5	0
AHR	AXUD1	5	1
SMAD1	CYP2E1	5	1
YY2	SPATA19	-5	0
ZSCAN10	SERPING1	-5	0
ELF4	TLR3	-5	0
HES7	SECTM1	5	1
KLF16	IL15	5	1
VSX1	BTK	-5	0
ETV6	NR6A1	-5	1
FOXA1	CD40	-5	0
FOXO3	TFPI2	5	0
THAP1	SREBP2	5	1
OLIG2	LY6E	5	0
TFEB	PLEKHA4	5	0
ESRRG	PHF15	-5	1
PPARG	EPAS1	5	1
YY2	RXRG	-5	0
ZSCAN4	HLA-G	-5	1
POU3F2	SAA1	5	0
HEY1	MMP9	-5	0
HOXB3	HLA-G	-5	0
HOXB3	RNF24	5	0
RBPJ	PRIC285	5	1
HOXA1	Osterix	5	1
MYC	MBP	-5	1
CREB3	GAD1	-5	0
KLF13	UBE2M	5	1
VSX1	CCR1	-5	0
FOXA1	JUNB	-5	0
TLX1	S100A10	-5	1
SPI1	STAT5B	-5	1
ZBTB4	C10orf10	-5	1
FOXI2	BCL2L14	-5	0
IRF7	MX1	5	1
VTN	STAT4	-5	0
VDR	LSS	5	0
POU5F1	RARB	5	0
STAT2	RIPK2	5	1
IRF7	FUT4	5	0
ETV5	GNAI2	-5	1
SOX11	TYMP	-5	0
NFKB1	TNFRSF4	5	1
REL	PLCG1	-5	1
NR4A1	SENP2	-5	0
IRF7	IRF9	5	0
ZNF524	NFKB2	5	1
SP9	CAV1	-5	0
PPARD	RBCK1	5	1
IRF9	TRIM25	5	0
HEY1	FAM125B	-5	1
ZNF35	RORA	5	0
THRB	C22orf28	5	1
NFKB1	ADAMDEC1	5	1
PPARG	RGS1	-5	0
CEBPD	CYP2E1	-5	0
E2F1	SPATA19	-5	1
NFE2	HLA-G	-5	0
RFX6	PDGFB	5	1
FOXE1	PHF15	5	1
OLIG3	BCL2L14	-5	0
JDP2	IL15	5	0
RELA	CD83	5	1
GMEB2	GALNT2	5	0
STAT2	IRF8	5	0
IRF7	SSBP3	-5	1
TFAP4	CD7	5	1
HES7	GNAI2	5	0
NFATC3	HGF	-5	0
PAX6	CDK6	5	0
TFEB	APOL1	5	1
NR1H4	MTHFD2L	-5	0
EGR3	FCER2	5	1
IRF4	COL1A2	5	1
PROP1	CCR7	-5	0
TFAP2D	NR2E3	-5	1
NEUROG2	FBXO6	-5	0
MLXIPL	IFIT3	-5	0
NFKB1	NR4A3	5	1
ESR1	CD83	-5	1
